WS,Element
Adicional2,MET.Acacias-4_L2
Adicional2,BOG.Paloquemao-1_L2
Adicional2,BOG.San Martin_L7
Adicional2,HUI.Club Neiva_T3
Adicional2,BOG.IND Compensar 68_L3
Adicional2,CUC.Quintaboch_L2
Adicional2,FLO.Batallon_L2
Adicional2,HUI.Guadalupe_M2
Adicional2,TOL.Sumapaz_L2
Adicional2,BOG.Tintal-2_M2
Adicional2,CUC.Quintaboch_M1
Adicional2,DUI.Ciudadela Industrial_M3
Adicional2,BOG.Macarena:P1_L2
Adicional2,HUI.Garzon-1_M2
Adicional2,BOG.IND Campin_L14
Adicional2,BOG.Bodegas Franco_R2
Adicional2,SJG.San Jose-8_M3
Adicional2,BOG.Las Ferias-1_M2
Adicional2,BOG.Paloquemao-1_M1
Adicional2,CAS.Florena_M1
Adicional2,CUN.IND Conquimica N2_L1
Adicional2,BOG.Centro Narino_R2
Adicional2,BOG.Paloquemao-1_M3
Adicional2,DUI.Ciudadela Industrial_M2
Adicional2,BOG.Arcadia_L3
Adicional2,BOG.Modelo Sur-2_R1
Adicional2,BOG.Modelo Sur-2_T2
Adicional2,BOG.Navarra-1_M2
Adicional2,DUI.Juan Grande_L3
Adicional2,HUI.Campo Alegre_M1
Adicional2,HUI.Campo Alegre_T2
Adicional2,BOG.Bodegas Franco_L2
Adicional2,BOG.Centro Narino_M2
Adicional2,BUC.Mejoras Publicas_M3
Adicional2,CUC.Quintaboch_L3
Adicional2,HUI.Club Neiva_L3
Adicional2,ANT.ECP Casabe_M1
Adicional2,BUC.Acropolis_M1
Adicional2,MET.Acacias-4_T3
Adicional2,BOG.Galan-2_L4
Adicional2,CAQ.Pto Rico-2_M1
Adicional2,CAS.Villa Nueva-7_L1
Adicional2,BOG.Arcadia_T2
Adicional2,BOG.San Martin_R3
Adicional2,NOR.Ecopetrol Tibu_L2
Adicional2,BOG.Bodegas Franco_M1
Adicional2,BOG.Galan-2_T1
