WS,Element
Sesion5,BAR.Olaya Herrera_L1
Sesion5,BAR.Rb San Isidro_L1
Sesion5,BAR.Romelio_L5
Sesion5,BAR.Soledad-8_L2
Sesion5,BAR.Villa Luz_R3
Sesion5,BAR.Villacountry-2:H3_L3
Sesion5,BOL.Juan Arias_M2
Sesion5,CAR.Crisanto Luque Reub_M3
Sesion5,CAR.IND Puerto Mamonal_T1
Sesion5,CAR.Universitario_T2
Sesion5,BAR.Carrera 38_T1
Sesion5,BAR.Centroamericanos Acuatico_L2
Sesion5,BAR.Circunvalar-1 (P1)_L3
Sesion5,BAR.Elias Chewing (P1)_T3
Sesion5,BAR.Granabastos-2_R3
Sesion5,BAR.La Magdalena_M3
Sesion5,BAR.Manhattan_L2
Sesion5,BAR.Nueva Colombia (P1)_R3
Sesion5,BAR.RB Carrizal_T3
Sesion5,BAR.Rb El Bosque_T2
Sesion5,BAR.Rb Helena_T1
Sesion5,BAR.Roberto Melendez (P1)_L2
Sesion5,BAR.Uniautonoma (P2)_M1
Sesion5,BOL.Magangue-5_T2
Sesion5,BOL.Mompox-3_M3
Sesion5,CAR.Castellana_R3
Sesion5,CAR.Complejo Raquetas_L1
Sesion5,CAR.Cordialidad_R2
Sesion5,CAR.Mamonal-13_L2
Sesion5,CAR.Mamonal-4_M5
Sesion5,CAR.Villa Lorena-2_M3
Sesion5,BAR.7 de Abril_T2
Sesion5,BAR.Batalla de Flores-3 REU_L7
Sesion5,BAR.Carrera 38-2 (P1)_M1
Sesion5,BAR.Carrera 44 (P2)_M1
Sesion5,BAR.Centro-1:H1_M2
Sesion5,BAR.Delicias-2_T1
Sesion5,BAR.IND Energia Solar_M1
Sesion5,BAR.IND Indufaros_L1
Sesion5,BAR.Olaya Herrera_L5
Sesion5,BAR.Puerta del Sol (P1)_L1
Sesion5,BAR.Puerta del Sol (P1)_T3
Sesion5,BAR.Rb Pastoral_L1
Sesion5,BAR.Sao 93 (P2)_L2
Sesion5,BAR.Villa Luz_R2
Sesion5,BAR.Villa Santos_L3
Sesion5,BOL.Margarita_M2
Sesion5,BOL.Turbana_L3
Sesion5,CAR.Cadetes (P2)_M2
Sesion5,CAR.Caracucha_R1
Sesion5,CAR.Chambacu_T2
Sesion5,CAR.Cordialidad-2_T3
Sesion5,CAR.IND Argos Planta:H1_L1
Sesion5,CAR.La Quinta_R3
Sesion5,CAR.San Fernando-3_L1
Sesion5,CAR.Santa Lucia_M2
Sesion5,CAR.Socorro-2_M1
Sesion5,CAR.Villa Olimpica (P1)_M3
Sesion5,BAR.11 de Noviembre_T3
Sesion5,BAR.Calle 17_M1
Sesion5,BAR.Calle 30-3 (P1)_L1
Sesion5,BAR.Calle 30-4 (P1)_T2
Sesion5,BAR.Calle 30_R1
Sesion5,BAR.Ernesto Cortissoz P1_L1
Sesion5,BAR.Esmeralda_R3
Sesion5,BAR.Granabastos-3_L1
Sesion5,BAR.IND Energia Solar-2_M2
Sesion5,BAR.Puerta de Oro (P2)_T2
Sesion5,BAR.RB Batalla Flores-1 (P1)_M3
Sesion5,BAR.RB Cementerio_L3
Sesion5,BAR.Rb Estadio-1:H1_L2
Sesion5,BAR.Rb Helena_M4
Sesion5,BOL.Magangue-9_L1
Sesion5,CAR.Cementerio-3_T2
Sesion5,CAR.Estadio-3_T1
Sesion5,CAR.Hilton:P1_T1
Sesion5,CAR.Las Americas_T1
Sesion5,CAR.Villa Lorena-2_T1
Sesion5,BAR.Altamira_T3
Sesion5,BAR.Americas-2_M3
Sesion5,BAR.Americas_T3
Sesion5,BAR.Blue Garden (P2)_T3
Sesion5,BAR.CAC Centro_T1
Sesion5,BAR.CC Americano_T3
Sesion5,BAR.Calle 30_T1
Sesion5,BAR.Cevillar_T1
Sesion5,BAR.Circunvalar-1 (P1)_M1
Sesion5,BAR.Concord_T1
Sesion5,BAR.Delicias-2_L2
Sesion5,BAR.Gracetales_L4
Sesion5,BAR.Mercadito_L2
Sesion5,BAR.Paraiso-2 (P1)_L2
Sesion5,BAR.Policia Nacional_T2
